text,sentiment,label,predicted_label_stacking
ada topik yang harap dapat masuk kompetensi dasar kurikulum dan ajar tematikterpadu di sdmi,positive,2,2
sekarang saat yang tepat beri masuk kurikulum suara masyarakat dengar,positive,2,2
bahkan pihak duli didik sumbar papar unggul kurikulum banding k,positive,2,2
masa sma bukan masa buat kita santai karana pada masa sma itu saat kita banyak tugas kurikulum,positive,2,2
untuk kelas xi hari ini di wajib untuk pramuka pimpin hingga besok minggu jgn sampai lambat mulai jam kurikulum,positive,2,2
kurikulum pramuka jadi ekstrakuler wajib,positive,2,2
kurikulum henti sementara moga ini tanda baik dunia bagi didik indonesia,positive,2,2
kunci kurikulum ada pada para guru kurikulum,positive,2,2
mulai dari sisi kurikulum tenaga didik alat ajar program studi dan bidang ahli serta teaching factory,positive,2,2
kemenperin terus kerja sama dengan untuk fasilitas sesuai kurikulum sedia alat lab serta kerja sama dengan industri,positive,2,2
maaf salah orang itu ibarat mata ajar sulit dalam kurikulum moral hidup,positive,2,0
ketika kurikulum baru ada untuk naik peringkat univ itu sendiri tapi kita semua tau itu tidak efetif hmm rasa ingin ubah,positive,2,2
kurikulum yang anda yakin baik maka juang dan tahan tidak mesti sama persis dgn kurikulum,positive,2,2
kutip isi artikel kalao banyak yang lupa pancasila kenapa tidak kembali jadi kurikulum sekolah seperti dulu,positive,2,0
pagi ini mulai dengan diskusi ringan tentang kurikulum didik dasar dan lesson learned dari para ortu,positive,2,2
padu ideologi pancasila dalam kurikulum segera terap,positive,2,2
syukur kalian yang lulus belum kurikulum baru ini bentuk,positive,2,2
pandang hidup bangsa perlu masuk ke dalam kurikulum maupun giat didik nonformal lain indonesia antiradikalisme,positive,2,2
jokowi minta nilainilai pancasila masuk dalam kurikulum,positive,2,2
tiap sekolah asrama jalan berbedabeda sesuai dengan program dan kurikulum dari kelola papuabicara,positive,2,2
ajar itu ikut kata hati bukan ikut kurikulum revisi kurikulum yang ubah tanpa henti revisi bak buku seri kompasianival,positive,2,2
buku itu keluar dari kurikulum sekolah buku itu tidak lagi jadi bahan kaji dan ajar di sekolah buku itu jauh dari siswa,positive,2,2
agak syok dengan sistem kurikulum angkat kurikulum ngedukung buat lulus cepet,positive,2,0
latih kurikulum tetap laku kurikulum,positive,2,2
penguatanpendidikankarakter tidak akan ubah struktur kurikulum tapi kuat kurikulum yang sudah muat didik karakter,positive,2,2
akhir rangkai giat implementasi kurikulum sejak bulan mei selesai hari ini maju didik,positive,2,2
didik indonesia kurikulum akan sederhana solo tuit,positive,2,2
jenis kurikulum di indonesia kurikulum kurikulum kurikulum kurikulum kurikulum kurikulum kurikulum fb,positive,2,2
dengan begitu kini dua kurikulum didik yang laku di indonesia yaitu ktsp dan kurikulum,positive,2,2
kurikulum di lanjut di jawa barat bagai contoh didik di indonesia kemendikbud,positive,2,2
didik di indonesia sekarang lebih maju alhamdullilah tahan lah kurikulum,positive,2,2
menteri didik kurikulum lanjut tapi batas indonesia,positive,2,2
guru anak kamu suruh nyusun kurikulum baru lagi padahal kurikulum sudah sangat baik n cakup didik karakter,positive,2,2
benar sistem didik pada kurikulum itu sudah sangat bagus untuk bina anak didik jadi pribadi yang baik,positive,2,2
pokok mau pake kurikulum ktsp yang penting tuju baik capai harap didik indonesia makin baik dan maju,positive,2,2
tvonenews guru besar didik kurikulum lebih baik daripada,positive,2,2
makadr awal saya kasih saran ke teman yang pakai kurikulum untuk pakai abc saja untuk nilai hari nnti bs olah lg ke angkalbh mudah,positive,2,2
kali ini kurikulum kyaknya jadi trending topic penasaraan,positive,2,2
menteri anies keluar atur kurikulum kurikulum kemendikbud lekslawyer jakartalawyer,positive,2,2
itu belum tambah proses buat nilai belum skripsi nilai kurikulum sempurna,positive,2,2
untuk itu menteri didik harus evaluasi implementasi kurikulum shg guru mampu terjemah dengan baik di kelas,positive,2,2
didik senantiasa harus jadi ruang gembira bukan derita ruang penuh rasa bukan paksa kurikulum,positive,2,2
sekolah yang mampu laksana kurikulum silah aplikasi dengan baik,positive,2,2
klasifikasi komunikasi inverensi intervretasi simpul kurikulum,positive,2,2
kreatifitas kritis inovasi kurikulum,positive,2,2
harus jika mau uji coba kaji kurikulum maka sampel sekolah harus sebar semua provinsi shg putus wakil,positive,2,2
iya mgkn ini salah pak anies bebas terap kurikulum bagi yang sudah laksana semester tanpa lihat wilayah,positive,2,2
sekitar t biaya siap kurikulum tidak sia kok karena kaji akan lanjut daripada generasi terus jadi korban,positive,2,2
sejak kurikulum terap sikap siswa lihat ubah,positive,2,2
kurikulum mending sempurna dulu kalau udh sempurna baru deh laksana biar lebih efisien dan tdak ada kontroversi,positive,2,2
kurikulum saya wakil siswa sma turut saya lanjut saja yang sudah lanjut krna biaya beli buku kurang untuk siswa miskin,positive,2,2
kurikulum masuk ajar hijau agar lahan eks tambang bauksit di kepri reklamasi tanjungpinang,positive,2,2
kalau kurikulum tarik cmn karena kait dgn doa di tiap mulai kelas ya itu memang ngga ada kerja dan pendek akal,positive,2,2
prakarya kewirausahaan gali potensi lingkung sekitar jadi buah karya yang punya daya saing kurikulum,positive,2,2
nyata kurikulum pengaruh karakter siswa bagaimana turut anda kurikulum,positive,2,2
kurikulum untuk bentuk kapasitas dan kualitas guru mari kita semua berpastisipasi untuk kurikulum,positive,2,2
syukur kurikulum henti kasihan skolah yang di pelosok buku tidak nyampe sampe ke tuju dari tahun lalu,positive,2,2
siswa lebih berani bicara dan tambah sopan karena nilai sikap pisah dan pengaruh naik kelas kurikulum,positive,2,2
selamat saja buat anak sekolah kurikulum kini di ganti dengan kurikulum,positive,2,2
kota tangerang tetap laksana kurikulum kurikulum,positive,2,2
polemik kurikulum ntah mana yang baik tetapi apa nnti kurikulum harus iring dengan tingkat kualitas,positive,2,2
nyata kurikulum tuju baik tapi banyak yang salah sasar dan erti akan sains,positive,2,0
nafas dengan jujur dan disiplin sesuai dengan eja yang telah sempurna kurikulum,positive,2,2
kurikulum banyak ajar etika dan main lebih ringan banding kurikulum tapi lebih padat isi makanya keteter,positive,2,2
begitu dengan aparat yang libat kekuranggan yang ada harus sama cari solusi bukan malah mundur ke belum kurikulum,positive,2,2
di sini lah guru dan siswa tuntut jadi kualitas dengan sama usaha maksimal potensi kurikulum,positive,2,2
laku yang baik untuk didik indonesia mrk yang hanya bisa nyinyir atas di hapus kurikulum pasti pny penting proyek,positive,2,2
kurikulum rupa bagi dari baik kurikulum ktsp di era bambang sudibyo,positive,2,2
baru tau saya kalau kurikulum sma di rapor sudah mulai pake indeks prestasi kumulatif ipk skala segala,positive,2,2
harap saya sih menteri itu kerja jangan hanya motivasi tapi beri solusi kurikulum,positive,2,2
wakil menteri didik dan budaya bidang didik musliar kasim kata banyak pihak telah aku unggul kurikulum,positive,2,2
kurikulum stop bagi sekolah yang baru jalan lama semester sedang sekolah yang sudah jalan semester ttp lanjut,positive,2,2
ribut kurikulum lebih baik hapus uji nasional seragam baik kualitas didik dan semua warganegara dpt didik yang layak,positive,2,2
terima kasih telah hapus kurikulum kurikulum,positive,2,2
jadi makin syukur karena didik nasional tetap pakai kurikulum dengan catat akan evaluasi,positive,2,2
baik k tidak perlu henti cuma harus revisi saja yang kurang baik apa dan hapus un kurikulum,positive,2,2
blusukan ke sma menteri anies dicurhati soal kurikulum,positive,2,2
nilai kompetensi sikap pada kurikulum kurikulum,positive,2,2
wamendik musliar kita harus syukur bisa hasil kurikulum kurikulum ini luar biasa ubah,positive,2,2
anak sd minggu masuk sekolah soal di buku sebut jumlah huruf konsonan pd kata perempuan keren kurikulum,positive,2,2
pada kurikulum k yang kini terap ada ajar tambah yakni kewirausahaan,positive,2,2
moga bisa buat putus yang terbaikkurikulum cintajokowi ragu sudah buai citra,positive,2,2
seperti pspb sama ppkn mesti di masuk kembali dalam kurikulum diknas,positive,2,2
pancasila perlu masuk dalam kurikulum didik di semua tingkat sekolah pendidikanmoralpancasila,positive,2,2
ada baik timbang pmp masuk di kurikulum demi tanam nilai pancasila bagi ajar,positive,2,2
harus sastra jadi kurikulum wajib di sekolah indonesia,positive,2,2
tiap pagi baca alquran dapat buat kita tenang dan dapat tambah moot kurikulum,positive,2,2
tuju saya malah punya usul sama menteri didik kalau finance masuk kurikulum biar indonesia makin maju,positive,2,2
latih instruktur nasional laksana pada maret kabinetjokowi kurikulum,positive,2,2
paham kurikulum baru memang lebih mudah daripada paham,positive,2,2
perintah siap kurikulum ekonomi digital,positive,2,2
alhamdulillah jalan lancar dan moga giat ini makin tingkat kualitas didik di purwakarta dan indonesia kurikulum,positive,2,2
kenal lingkung sekolah pls pamer ekstrakulikuler pramuka wajib kurikulum,positive,2,2
moga dengan kurikulum ini anak anak indonesia jadi lebih sukses amin o selamat hari didik nasional,positive,2,2
moga tingkat bolos makin arang tidak ada dualisme antara kurikulum sama ktsp d,positive,2,2
kita selalu juang agar hasil manusia yang kompeten lalu kurikulum ini kurikulum,positive,2,2
ketika smkn liput kena kurikulum infoin cc,positive,2,2
alas kembali ke ktspnya begini dan syarat untuk tetap pakai kurikulum nya seperti ini ya pak,positive,2,2
sekolah negeri seragam kurikulum kurikulum,positive,2,2
kemdikbud materi didik seksual sudah ada di kurikulum,positive,2,2
resmi kemendikbud ubah nama kurikulum jadi kurikulum nasional,positive,2,2
fokus libur udh slesai bsok udah fokus blajar ini baik nilai prilaku dalam skolah kurikulum,positive,2,2
kurikulum terap penuh paling lama kurikulum,positive,2,2
muat kurikulum paud kurikulum paud tk ra paud,positive,2,2
harap harap cemas nanti orang yang tak pantas revisi dulu otak biar kaya kurikulum sekarang kurikulum,negative,0,0
kurikulum tugas banyak pula ya gapapa sih cuma capek saja jadi gampang ngantuk sekarang gampang tidak fokus di sekolah,negative,0,0
banyak guru sulit terap k kurikulum,negative,0,0
kurikulum buat stress guru,negative,0,0
saat ini lapang bukan masalah pada kurikulum nya tetapi buku untuk ajar sebut tidak kunjung ada dalam versi cetak,negative,0,0
kurikulum pendidikannasional itu adalah bunuh kebhinekaan nusantara eh,negative,0,0
titik syarafnya generasi negeri ini kan di didik sementara kurikulum revisi cara tutup d,negative,0,0
remidial matematika kimia liat soal saja udah males apa lagi suruh ngerjain kurikulum,negative,0,0
kami adalah sedikit generasi mana uji coba kurikulum ada kurikulum smknjakarta,negative,0,0
siapa peduli mafia proyek di kurikulum dalam tiap musim pelatihanwakil rakyat,negative,0,0
buku tidak ada bahan gajelas materi ganti ganti angkat selalu jadi kelinci coba kurikulum,negative,0,0
angkat saya jdi kelinci coba kurikulumangakatan thn di atas saya jdi kelinci coba sistem un barujadisedih,negative,0,0
tikus coba kurikulum,negative,0,0
muhammadiyah protes mendikbud didik kurikulum,negative,0,0
kurikulum banyak presentasi kurikulum,negative,0,0
saat mulai nyaman kita harus pisah kurikulum,negative,0,0
ketika udah mulai nyaman malah pergi begitu saja kurikulum,negative,0,0
baru hari berangkat sejak libur jadwal mapel gonta ganti antara kurikulum sama ktsp itu rasa ogos,negative,0,0
nilai banyak ini bikin pusing kurikulum,negative,0,0
kalau gax mumet itu nama orang gax normal aku ajah yang normal jadi tidak gara gara hadap rumit kurikulum,negative,0,0
kasi amat efek demen fisika d kakaka k kemendikbud surabaya kurikulum,negative,0,0
datang bikin nyaman lalu pergi hiks kurikulum,negative,0,0
udah nyaaman bangett malah ditinggalhuhu kurikulum,negative,0,0
kalau kalian naik angkut umum dan betul bareng guruguru pasti lagi rame pada ngedumel kurikulum ini,negative,0,0
tahun ini memang banyak guru tik yang galau mapelnya hilang ganti prakarya dalam kurikulum jd mereka hilang jam ajar,negative,0,0
tapi ya saya sayang sih kalau kurikulum itu stop mbok ya baik saja begitu ingat dana buku yang baru banget kirim,negative,0,0
saya khawatir ini tandatanda bahwa saya mulai depresi rapor kurikulum,negative,0,0
tidak sinkron waktu beri media sudah akhir sedang sistem nilai yang terlalu banyak dan ada deadline kurikulum,negative,0,0
nggosip kurikulum yang tak kunjung usai,negative,0,0
motif korupsi kurikulum harus henti,negative,0,0
saat guru rasa sulit hadap baru seperti kurikulum maka tanda guru sebut masalah guru harus selalu ajar,negative,0,0
jika kurikulum masalah silah baik tapi jika nyata para tenaga ajar yang tak mampu ada solusi baik,negative,0,0
asa kurikulum uda dibubarin tapi tetep saja tugas kuliah masih pake kurikulum inimungkin dosen belum bisa moveon,negative,0,0
kata kurikulum itu banyak pr tugas itu salah kurikulum atau salah menteri didik,negative,0,0
jangan lagi korban anak kami dng putus politik kedok kurikulum ubah skrg juga hapusun skrg juga,negative,0,0
emg gk pusing bkin pnilaian dua kurikulum,negative,0,0
mending udahan saja dari pada dijalanin tidak enak loh ini apa kurikulum,negative,0,0
harus meski ganti menteri substansi bijak jangan ganti refleksi kurikulum,negative,0,0
boleh kami tolak surat edar mendikbud tentang henti k karena kami benarbenar serius laku kurikulum,negative,0,0
jangan korban anak dan ortu kurikulum vs kurikulum dpd dukung batal kurikulum,negative,0,0
mau di bawa mana buku kurtilas kurikulum,negative,0,0
lebay banget tugas numpuk ulang mulu kurikulum,negative,0,0
terap kurikulum dalam waktu hanya ada di indonesia mas betapa bobrok nya didik kita kurikulum,negative,0,0
tuk bener ganti lagi jadwal ajar kurikulum,negative,0,0
pusing pala bu guru kurikulum,negative,0,0
cabut saja deh pak kurikulum baik dulu begitu yang absurd saya gemes rekrut saya deh pak yakale,negative,0,0
kurikulum itu buat otak pecah mtk yang tadi hanyak sekarang ada yaitu matematika minat dan wajib memang kita otak profesor,negative,0,0
anak sd paksa harus ajar dengan mata ajar tingkat sma kurikulum itu buruk dan bahaya,negative,0,0
ajar ini buat kyk psikopat kurikulum confused,negative,0,0
nyata bukti jabat seblmnya jalan kurikulum itu tergesasobnyk yang kontra akan laku stop kurikulum saat ini,negative,0,2
selain ramai tentang pro kontra kurikulum seperti mimin lupa akan hal,negative,0,0
silah ganti presiden pak ustaz siapa presiden kl kurikulum kacau kurikulum saya lawan,negative,0,0
jadi bagaimana tanggap kalian kena cabut kurikulum a tuju b tidak tuju,negative,0,0
kurikulum belum kurikulum tidak lbh baik tetapi yang jelas tak ada kalimat teror status,negative,0,0
saya akan henti kurikulum jika wenang lha dokumen tulis kayak oleh org tidak waras begitu mosok mau terus,negative,0,0
sinetron kurikulum bak cerai rumah tangga dan korban utama adalah anakanak didik,negative,0,0
mungkin dalam k ini banyak yang jadi kendala tapi masih bisa untuk di baik bukan tidak harus stop kurikulum,negative,0,0
sekarang kurikulum henti saya lihat banyak jabat kecewa,negative,0,0
ada pula guru yang kasihan kalau siswa tanpa disuapin akan susah makan tapi kalau bantu nerangin takut tetiba ada awas kurikulum,negative,0,0
hadap kurikulum bagi guru laen sebel karena harus buat lapor tiap temu kbm kurikulum,negative,0,0
masak kurikulum yang siap tahun lalu di stop dalam bulan tanpa ngobrol cintajokowi,negative,0,0
di kota besar guru saja sll sulit kait kurikulum apalagi seperti papua yang segala minim,negative,0,0
kasihan terbit buku yang dpt tender nyetak buku kurikulum baru sekali cetak distribusi belum tuntas dah di stop brp modal yang ludes,negative,0,0
kurikulum rupa waris jahat yang buat anak didik alami degradasi semangat ajar dukung pak,negative,0,0
yang bikin kurikulum pun kayak tidak tau tuju buat ngapain murid,negative,0,0
sekolah itu harus jadi tempat yang senang bukan sebal dan bikin stres kurikulum,negative,0,0
kata kurikulum itu banyak pr tugas itu salah kurikulum saya atau salah menteri didik saya,negative,0,0
kalau baca ulas prof soal kurikulum tampak sekali kacau cara konseptual dan guna bahasa ajiiiiiib,negative,0,0
saya rasa jenuh dengan kurikulum pak,negative,0,0
bantu mama periksa hasil uji semester genap murid mnrt beliau makin ribeeett kurikulum,negative,0,0
enak banget jadi jabat indonesia habisin uang triliun untuk bikin proyek abalabal lalu tidak minta tanggungjawab kurikulum,negative,0,0
banyak tiap menteri ingin tonjol lebih sendiri kurikulum,negative,0,0
hai kalian orang yang ajar kalian tak tahu tentang k kalian hanya tahu itu kualitas tapi itu buat kami susah kurikulum,negative,0,0
yang ajar sebenernya mbulet saja itu lagiitu lagi kurikulum,negative,0,0
saya adalah korban k kurikulum,negative,0,0
selain henti kurikulum ini mesti usut juga oleh duga seleweng dana,negative,0,0
ajar mas belum rata guru nya jadi bingung kurikulum,negative,0,0
sya dukung hapus kurikulum karena terlalu berat ribet masa ajar anak sd sprti anak kuliah kurikulum,negative,0,0
tuju banget kurikulum itu henti maupun evaluasi karena benar bingung siswa maupun guru ajar,negative,0,0
jadi kurikulum beneran hapus bagus deh abis bingung kasihan ade saya yang masih sekolah,negative,0,0
rubah bongkar rubah bongkat kurikulum korban para siswa,negative,0,0
hampir ngga pernah ngomong kasar di socmed tapi kurikulum ini memang benerbener banget yang bikin,negative,0,2
gara moratorium kurikulum smua stakeholder didik galau tengah uas ini kah revolusi mental yang di mksd joko cc,negative,0,0
ini kurikulum apa sih ngasal banged pasti ngetiknya di pramuka kurikulum,negative,0,0
padahal henti kurikulum tidak bisa seperti rem mobil biaya mahal,negative,0,0
kalau kurikulum henti lalu apa yang akan bangga indonesia pada negara lain dalam kualitas mutu didik,negative,0,0
kurikulum anggar kurikulum yang siap besar rp triliun batal guna lantar jumlah sasar sklh juga pangkas,negative,0,0
masak kurikulum yang siap tahun lalu di stop dalam bulan tanpa ngobrol cintajokowi,negative,0,0
akibat nasib bangsa hanya tang orangkurikulum yang siap th lalu stop begitu saja tanpa diskusi dengan komisi didik,negative,0,0
ganti tri ganti kurikulum kamu tri pa anis baswedan bukan ganti kurikuum tapi henti kurikulum kurikulum,negative,0,0
harus anda gun hati nurani pak belum putus untuk menetapakan kurikulum,negative,0,0
kurikulum memang susah soal bulan lalu gua juga ppl ngajar suatu sekolah smp sistem nilai sangat bingung,negative,0,0
reaksi yang nyusun kurikulum pas tau biaya siap kurikulum adalah trilyun,negative,0,0
reaksi anak sekolah hadap kurikulum cabutk,negative,0,0
kurikulum memang susah sama hal dengan kurikulum didik tinggi bas kompetensi guru harus cerdas menganalisa masalah,negative,0,0
sekali lg meski para guru kirim untuk ikut bimtek kurikulum yang saya lihat tak sepenuh paham mungkin dari pater,negative,0,0
tapi dana damping ke sekolah sekitar belum bayar nihkurikulum,negative,0,0
biaya susun hingga sosialisasi belum terap pasti habis bnyk uang kurikulum ini,negative,0,0
masih masuk usia jagung tapi langsung masalah kurikulum cabutk,negative,0,0
kur itu masuk pagi pulang sore tugas numpuk nah itu yang siksa dan materi pun tidak lengkap kurikulum,negative,0,0
bakal bingung kalau kur di hapus kasi yang udh kelas udh kagok kurikulum,negative,0,0
asa belum sampe bulan tuh gua dpet buku yang kurikulum dari perintah eh udah diberhentiin saja skrang kurikulum wkwk,negative,0,0
mantan tri belum kecewo baca ini penting tentang kenapa kurikulum memang ngaco cabutk,negative,0,0
stuju kurikulum hapus agar tidak trjadi puruk anak terus bangsa dgn sistem yang belum siap,negative,0,0
laksana kurtilas turut saya belum efektif karena sdm yang kurang siap bidang kurikulum,negative,0,0
kurikulum cuma buat murid jadi biar mirip guru balik murid g boleh salah harus ajar sesuai durasi lol,negative,0,0
stop kurikulum kurikulum,negative,0,2
kurikulum belum rasa manfaat tapi sudah di henti oleh perintah padahal uang rakyat sudah gelontor begitu banyak,negative,0,0
kurikulum henti ah sekolah gua sama saja berangkat pagi balik sore kurikulum,negative,0,0
kurikulum berat anak sd kelas mereka belum lancar bca tulis sdangkan disko mereka sllu tekan dgn plajaran,negative,0,0
moga tidak ada kasus ky begini lagi nanti kurikulum,negative,0,0
kalau usia kurang lebih sudah tahun dan tidak ada maju atau positif sedikit sekali kurikulum,negative,0,0
hapus kurikulum tidak semua anak bisa aktif di kelas apa kabar anak yang introvert,negative,0,0
belum ajar saja siswa sudah rasa malas duluan karena lihat di hari ini ada ajar yang tidak mereka suka kurikulum,negative,0,0
tuju kalau kurikulum hapus capek juga kalau siswa yang aktif tapi guru pasif,negative,0,0
